Основная категория,Категория,Продукт,Общая оценка,Безопасность,Натуральность,Пищевая ценность,Качество,Ссылка
 Мясные продукты , Колбаса вареная ,"Колбаса ""Мясной дом Бородина"" ""Телячья""",,,,,,https://roscontrol.com/product/kolbasa-myasnoy-dom-borodina-telyachya/
 Мясные продукты , Колбаса вареная ,"""Чернышихинские колбасы"" ""Любительская""",,,,,,https://roscontrol.com/product/chernishihinskie-kolbasi-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Мясницкий ряд"" ""Любительская""",,,,,,https://roscontrol.com/product/myasnitskiy-ryad-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Велком"" ""Любительская""",,,,,,https://roscontrol.com/product/velkom-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Клинский"" ""Любительская""",,,,,,https://roscontrol.com/product/klinskiy-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Мясной дом Бородина"" ""Любительская""",,,,,,https://roscontrol.com/product/myasnoy-dom-borodina-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Велком"", ""Русская""",,,,,,https://roscontrol.com/product/kolbasa-russkaya-velkom/
 Мясные продукты , Колбаса вареная ,"Колбаса ""БахрушинЪ"", ""Докторская""",,,,,,https://roscontrol.com/product/kolbasa-bahrushin-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Заповедные продукты"", ""Докторская""",,,,,,https://roscontrol.com/product/kolbasa-zapovednie-produkti-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Мясной дом Бородина"", ""Докторская""",,,,,,https://roscontrol.com/product/myasnoy-dom-borodina-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Малаховский"" ""Любительская""",,,,,,https://roscontrol.com/product/malahovskiy-lyubitelskaya/
 Мясные продукты , Колбаса вареная ,"""Царицыно"", ""Докторская""",,,,,,https://roscontrol.com/product/kolbasa-tsaritsino-gost-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Ремит"", ""Докторская""",,,,,,https://roscontrol.com/product/kolbasa-remit-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Ближние горки"", ""Докторская""",,,,,,https://roscontrol.com/product/kolbasa-blignie-gorki-doktorskaya/
 Мясные продукты , Колбаса вареная ,"""Мортадель"", ""Докторская""",,,,,,https://roscontrol.com/product/mortadel-doktorskaya/
